game_id,season,team,point_diff,wins,turnover_diff,off_pass_epa,off_rush_epa,def_pass_epa,def_rush_epa,home,dome,temp,wind
2002_01_ARI_WAS,2002,ARI,-8,0,0,0.043270455,-0.030501328,0.156046887,0.097283326,0,0,76,5
2002_01_ARI_WAS,2002,WAS,8,1,0,0.156046887,0.097283326,0.043270455,-0.030501328,1,0,76,5
2002_01_ATL_GB,2002,ATL,-3,0,0,0.146118209,0.430746314,0.369263991,0.094688249,0,0,83,9
2002_01_ATL_GB,2002,GB,3,1,0,0.369263991,0.094688249,0.146118209,0.430746314,1,0,83,9
2002_01_BAL_CAR,2002,BAL,-3,0,-1,-0.054817445,-0.015859923,0.006125826,-0.094776295,0,0,78,12
2002_01_BAL_CAR,2002,CAR,3,1,1,0.006125826,-0.094776295,-0.054817445,-0.015859923,1,0,78,12
2002_01_DAL_HOU,2002,DAL,-9,0,0,-0.387745392,0.080500665,-0.10449968,-0.337145273,0,1,70,0
2002_01_DAL_HOU,2002,HOU,9,1,0,-0.10449968,-0.337145273,-0.387745392,0.080500665,1,1,70,0
2002_01_DET_MIA,2002,DET,-28,0,-1,-0.010133401,-0.034031848,0.693517906,0.103897471,0,0,87,12
2002_01_DET_MIA,2002,MIA,28,1,1,0.693517906,0.103897471,-0.010133401,-0.034031848,1,0,87,12
2002_01_IND_JAX,2002,IND,3,1,-1,0.169787767,-0.005822174,0.041291312,0.052311652,0,0,85,16
2002_01_IND_JAX,2002,JAX,-3,0,1,0.041291312,0.052311652,0.169787767,-0.005822174,1,0,85,16
2002_01_KC_CLE,2002,CLE,-1,0,1,0.356020067,-0.086399851,0.347857384,0.33976062,1,0,86,0
2002_01_KC_CLE,2002,KC,1,1,-1,0.347857384,0.33976062,0.356020067,-0.086399851,0,0,86,0
2002_01_MIN_CHI,2002,CHI,4,1,1,0.398882331,-0.288845272,0.180711693,0.05836587,1,0,85,3
2002_01_MIN_CHI,2002,MIN,-4,0,-1,0.180711693,0.05836587,0.398882331,-0.288845272,0,0,85,3
2002_01_NO_TB,2002,NO,6,1,0,0.167271395,-0.095233168,-0.148430149,-0.130241632,0,0,90,6
